30/08/2021 14:59:07 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
30/08/2021 14:59:07 [WARNI]  Số lượng hồ sơ cần kê khai: 0
30/08/2021 14:59:07 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
30/08/2021 14:59:07 [WARNI]  Số lượng hồ sơ cần kê khai: 0
30/08/2021 14:59:08 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - VPĐD HANKYU HANSHIN PROPERTIES CORP. TẠI TP HỒ CHÍ MINH
30/08/2021 14:59:08 [WARNI]  EMPLOYEE_TERRA: LẤY THÔNG TIN NHÂN VIÊN - Phan Nguyễn Đăng Khoa
30/08/2021 14:59:08 [WARNI]  Số lượng hồ sơ cần kê khai: 1
30/08/2021 14:59:42 [WARNI]  LOGIN_BHXH: THÀNH CÔNG
30/08/2021 15:01:14 [WARNI]  30/08/2021 15:01
30/08/2021 15:01:15 [WARNI]  HỒ SƠ ĐÃ LƯU TẠM
30/08/2021 15:01:17 [WARNI]  CHẠY QUY TRÌNH QUÉT KẾT QUẢ
30/08/2021 15:01:18 [WARNI]  LOGIN_TERRA: LẤY ACCESS TOKEN THÀNH CÔNG
30/08/2021 15:01:18 [WARNI]  CLIENT_TERRA: LẤY DANH SÁCH KHÁCH HÀNG THÀNH CÔNG
30/08/2021 15:01:18 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
30/08/2021 15:01:18 [WARNI]  Số lượng hồ sơ cần quét kết quả: 0
30/08/2021 15:01:19 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - ABC COMPANY LIMITED
30/08/2021 15:01:19 [WARNI]  Số lượng hồ sơ cần quét kết quả: 0
30/08/2021 15:01:19 [WARNI]  CLAIMS_TERRA: LẤY DANH SÁCH HỒ SƠ - VPĐD HANKYU HANSHIN PROPERTIES CORP. TẠI TP HỒ CHÍ MINH
30/08/2021 15:01:19 [WARNI]  Số lượng hồ sơ cần quét kết quả: 11
